ZIP_CODE,ZIP_GEOID,CSA_CODE,CSA_NAME,ZIP_NAME,TOTAL_POP,POP_DEN,AREA_SQMI,TOP_30,LESS_30_INC,LESS_30_INC_M,LESS_30_RENT,30_60_INC_L,30_60_INC_U,30_60_INC_L_M,30_60_INC_U_M,30_60_RENT,60_90_INC_L,60_90_INC_U,60_90_INC_L_M,60_90_INC_U_M,60_90_RENT,90_120_INC_L,90_120_INC_U,90_120_INC_L_M,90_120_INC_U_M,90_120_RENT,120_150_INC_L,120_150_INC_U,120_150_INC_L_M,120_150_INC_U_M,120_150_RENT,MORE_150_INC,MORE_150_INC_M,MORE_150_RENT
30566,860Z200US30566,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30566,8643,1074,8,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30310,860Z200US30310,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30310,25847,3009,9,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30316,860Z200US30316,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30316,33773,2589,13,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30043,860Z200US30043,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30043,88050,2662,33,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30052,860Z200US30052,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30052,74564,838,89,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30332,860Z200US30332,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30332,2743,30537,0,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30542,860Z200US30542,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30542,37885,893,42,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30326,860Z200US30326,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30326,8379,11116,1,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30501,860Z200US30501,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30501,31619,1446,22,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30331,860Z200US30331,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30331,64295,1704,38,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30058,860Z200US30058,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30058,63647,2085,31,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30517,860Z200US30517,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30517,17704,640,28,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30346,860Z200US30346,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30346,4574,4531,1,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30213,860Z200US30213,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30213,47395,762,62,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30078,860Z200US30078,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30078,41998,2427,17,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30303,860Z200US30303,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30303,5974,5762,1,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
